,BF,IP,H,BB,HBP,R,WHIP,RA9,WHIP_lift,RA9_lift
Innings 1-3 (baseline),64729.0,15122.7,14306.0,5252.0,600.0,7339.0,1.2932904249691413,4.367682066654911,0.0,0.0
"3rd time thru, top 4",15002.0,3400.3,3529.0,1278.0,148.0,1897.0,1.4136849328497205,5.020978335457308,0.12039450788057926,0.6532962688023964
3rd/top4 & PC>75,6775.0,1550.7,1570.0,554.0,70.0,863.0,1.3697334479793637,5.008813413585554,0.07644302301022243,0.641131346930643
3rd/top4 & PC>85,1938.0,447.7,460.0,145.0,18.0,258.0,1.351451973194341,5.186895011169025,0.05816154822519981,0.8192129445141134
3rd/top4 & PC>90,927.0,214.0,215.0,70.0,10.0,113.0,1.3317757009345794,4.752336448598131,0.03848527596543816,0.38465438194321955
