rule_name,trigger_type,fires,fires_per_game_day,fires_per_game,hit_rate_over_%
ALL,*,15206,27.85,2.281,66.9
TTO2-Mid/Back,ARM,1499,2.75,0.225,65.2
TTO2-Mid/Back,CONFIRM,5527,10.12,0.829,67.8
TTO3-Mid/Back,ARM,1479,2.71,0.222,70.9
TTO3-Mid/Back,CONFIRM,3602,6.6,0.54,74.2
WATCH-low-scoring,WATCH,3099,5.68,0.465,55.9
